order_id,customer_id,product_id,product_name,order_date,order_status,payment_status,order_amount
ORD00001,CUST0281,PRD-093,Ember Gentle Cleanser,2026-06-02,Processing,Paid,67.27
ORD00002,CUST0267,PRD-052,Meadow Training Shoe,2026-03-29,Delivered,Paid,117.69
ORD00003,CUST0047,PRD-030,Lumen Denim Jacket,2026-06-07,Delivered,Paid,117.64
ORD00004,CUST0234,PRD-115,Sage Travel Backpack,2026-08-01,Delivered,Paid,161.18
ORD00005,CUST0012,PRD-015,Sage Wireless Earbuds,2026-02-10,Delivered,Paid,103.96
ORD00006,CUST0024,PRD-066,Nova Coffee Grinder,2026-03-10,Delivered,Paid,59.04
ORD00007,CUST0036,PRD-089,Willow Vitamin C Set,2026-04-29,Delivered,Paid,103.16
ORD00008,CUST0216,PRD-009,Willow Portable Speaker,2026-01-19,Shipped,Paid,29.68
ORD00009,CUST0193,PRD-098,Terra Hydrating Serum,2025-03-24,Out for Delivery,Failed,303.38
ORD00010,CUST0092,PRD-139,Aster Yoga Mat,2026-07-05,Processing,Failed,84.95
ORD00011,CUST0002,PRD-101,Nimbus Canvas Tote,2025-01-24,Delivered,Paid,57.67
ORD00012,CUST0273,PRD-077,Echo Coffee Grinder,2026-01-24,Out for Delivery,Paid,343.62
ORD00013,CUST0097,PRD-059,Aster Daily Runner,2025-04-26,Shipped,Paid,81.25
ORD00014,CUST0124,PRD-009,Willow Portable Speaker,2025-07-31,Delivered,Paid,29.68
ORD00015,CUST0126,PRD-018,Terra Studio Microphone,2025-02-15,Processing,Paid,128.34
ORD00016,CUST0072,PRD-103,Orbit Laptop Sleeve,2026-05-31,Out for Delivery,Paid,116.28
ORD00017,CUST0296,PRD-075,Sage Air Fryer,2025-11-25,Shipped,Failed,172.35
ORD00018,CUST0212,PRD-061,Nimbus Electric Kettle,2025-11-04,Shipped,Paid,57.06
ORD00019,CUST0219,PRD-071,Summit Air Fryer,2026-07-24,Processing,Refunded,106.37
ORD00020,CUST0269,PRD-127,Pioneer Insulated Bottle,2025-11-23,Processing,Paid,259.72
ORD00021,CUST0276,PRD-107,Pioneer Canvas Tote,2026-04-30,Shipped,Paid,58.22
ORD00022,CUST0238,PRD-062,Harbor Electric Kettle,2025-03-01,Delivered,Paid,39.61
ORD00023,CUST0199,PRD-144,Cedar Bamboo Organizer,2025-09-06,Shipped,Paid,169.30
ORD00024,CUST0190,PRD-066,Nova Coffee Grinder,2025-04-05,Shipped,Paid,118.08
ORD00025,CUST0194,PRD-138,Terra Resistance Band Set,2025-02-10,Delivered,Paid,57.28
ORD00026,CUST0246,PRD-019,Aster Studio Microphone,2025-08-02,Processing,Pending,29.06
ORD00027,CUST0098,PRD-086,Nova Gentle Cleanser,2025-05-01,Shipped,Failed,37.66
ORD00028,CUST0204,PRD-123,Orbit Insulated Bottle,2025-09-03,Cancelled,Refunded,112.56
ORD00029,CUST0274,PRD-142,Harbor Cast Iron Pan,2026-01-03,Shipped,Paid,128.48
ORD00030,CUST0239,PRD-079,Aster Coffee Grinder,2025-04-11,Shipped,Paid,137.86
ORD00031,CUST0190,PRD-121,Nimbus Foam Roller,2025-11-17,Delivered,Paid,114.18
ORD00032,CUST0009,PRD-106,Nova Crossbody Bag,2025-09-25,Processing,Failed,40.82
ORD00033,CUST0152,PRD-142,Harbor Cast Iron Pan,2025-06-06,Returned,Refunded,128.48
ORD00034,CUST0256,PRD-051,Summit Training Shoe,2026-07-18,Shipped,Paid,130.76
