product_id,product_name,category,subcategory,brand,description,price,available_sizes,available_colors,stock_quantity,warranty_period,returnable,product_rating
PRD-001,Nimbus Portable Speaker,Electronics,Audio,Auralis,"The Nimbus Portable Speaker is designed for reliable everyday use, with practical materials and a thoughtful, durable finish.",68.49,,"Navy, Grey, Red",107,2 years,Yes,4.4
PRD-002,Harbor Wireless Earbuds,Electronics,Audio,Auralis,"The Harbor Wireless Earbuds is designed for reliable everyday use, with practical materials and a thoughtful, durable finish.",43.20,,"Black, Blue, White",94,6 months,Yes,4.0
PRD-003,Orbit Studio Microphone,Electronics,Audio,Auralis,"The Orbit Studio Microphone is designed for reliable everyday use, with practical materials and a thoughtful, durable finish.",96.68,,"White, Beige, Teal",61,1 year,Yes,3.9
PRD-004,Cedar Wireless Earbuds,Electronics,Audio,Auralis,"The Cedar Wireless Earbuds is designed for reliable everyday use, with practical materials and a thoughtful, durable finish.",73.92,,"Black, Blue, White",44,2 years,Yes,4.5
PRD-005,Solace Studio Microphone,Electronics,Audio,Auralis,"The Solace Studio Microphone is designed for reliable everyday use, with practical materials and a thoughtful, durable finish.",103.36,,"Navy, Grey, Red",13,6 months,Yes,4.1
PRD-006,Nova Wireless Earbuds,Electronics,Audio,Auralis,"The Nova Wireless Earbuds is designed for reliable everyday use, with practical materials and a thoughtful, durable finish.",19.25,,"Navy, Grey, Red",35,6 months,Yes,4.6
PRD-007,Pioneer Portable Speaker,Electronics,Audio,Auralis,"The Pioneer Portable Speaker is designed for reliable everyday use, with practical materials and a thoughtful, durable finish.",71.16,,"Black, Blue, White",71,2 years,Yes,4.2
PRD-008,Atlas Noise-Canceling Headphones,Electronics,Audio,Auralis,"The Atlas Noise-Canceling Headphones is designed for reliable everyday use, with practical materials and a thoughtful, durable finish.",79.59,,"Charcoal, Green, Sand",72,2 years,Yes,4.7
PRD-009,Willow Portable Speaker,Electronics,Audio,Auralis,"The Willow Portable Speaker is designed for reliable everyday use, with practical materials and a thoughtful, durable finish.",29.68,,"Black, Blue, White",63,6 months,Yes,4.2
PRD-010,Lumen Wireless Earbuds,Electronics,Audio,Auralis,"The Lumen Wireless Earbuds is designed for reliable everyday use, with practical materials and a thoughtful, durable finish.",157.66,,"White, Beige, Teal",81,1 year,Yes,4.5
PRD-011,Summit Studio Microphone,Electronics,Audio,Auralis,"The Summit Studio Microphone is designed for reliable everyday use, with practical materials and a thoughtful, durable finish.",64.90,,"White, Beige, Teal",10,1 year,Yes,3.8
PRD-012,Meadow Studio Microphone,Electronics,Audio,Auralis,"The Meadow Studio Microphone is designed for reliable everyday use, with practical materials and a thoughtful, durable finish.",152.79,,"Navy, Grey, Red",19,1 year,Yes,4.7
PRD-013,Ember Noise-Canceling Headphones,Electronics,Audio,Auralis,"The Ember Noise-Canceling Headphones is designed for reliable everyday use, with practical materials and a thoughtful, durable finish.",88.58,,"White, Beige, Teal",75,6 months,Yes,4.1
PRD-014,Coast Portable Speaker,Electronics,Audio,Auralis,"The Coast Portable Speaker is designed for reliable everyday use, with practical materials and a thoughtful, durable finish.",138.82,,"Charcoal, Green, Sand",50,6 months,Yes,3.7
PRD-015,Sage Wireless Earbuds,Electronics,Audio,Auralis,"The Sage Wireless Earbuds is designed for reliable everyday use, with practical materials and a thoughtful, durable finish.",103.96,,"Charcoal, Green, Sand",107,1 year,Yes,4.1
PRD-016,Drift Noise-Canceling Headphones,Electronics,Audio,Auralis,"The Drift Noise-Canceling Headphones is designed for reliable everyday use, with practical materials and a thoughtful, durable finish.",56.28,,"Charcoal, Green, Sand",40,6 months,Yes,3.8
PRD-017,Echo Noise-Canceling Headphones,Electronics,Audio,Auralis,"The Echo Noise-Canceling Headphones is designed for reliable everyday use, with practical materials and a thoughtful, durable finish.",141.15,,"Black, Blue, White",30,2 years,Yes,4.2
PRD-018,Terra Studio Microphone,Electronics,Audio,Auralis,"The Terra Studio Microphone is designed for reliable everyday use, with practical materials and a thoughtful, durable finish.",128.34,,"Navy, Grey, Red",118,2 years,Yes,4.0
PRD-019,Aster Studio Microphone,Electronics,Audio,Auralis,"The Aster Studio Microphone is designed for reliable everyday use, with practical materials and a thoughtful, durable finish.",29.06,,"White, Beige, Teal",88,1 year,Yes,4.6
PRD-020,Brook Wireless Earbuds,Electronics,Audio,Auralis,"The Brook Wireless Earbuds is designed for reliable everyday use, with practical materials and a thoughtful, durable finish.",75.01,,"Black, Blue, White",47,1 year,Yes,4.2
PRD-021,Nimbus Fleece Hoodie,Clothing,Outerwear,Threadline,"The Nimbus Fleece Hoodie is designed for reliable everyday use, with practical materials and a thoughtful, durable finish.",77.74,"XS,S,M,L,XL","Navy, Grey, Red",17,No warranty,Yes,4.4
PRD-022,Harbor Fleece Hoodie,Clothing,Outerwear,Threadline,"The Harbor Fleece Hoodie is designed for reliable everyday use, with practical materials and a thoughtful, durable finish.",117.63,"XS,S,M,L,XL","White, Beige, Teal",67,No warranty,Yes,4.4
PRD-023,Orbit Fleece Hoodie,Clothing,Outerwear,Threadline,"The Orbit Fleece Hoodie is designed for reliable everyday use, with practical materials and a thoughtful, durable finish.",90.86,"XS,S,M,L,XL","Charcoal, Green, Sand",49,No warranty,Yes,4.4
PRD-024,Cedar Rain Jacket,Clothing,Outerwear,Threadline,"The Cedar Rain Jacket is designed for reliable everyday use, with practical materials and a thoughtful, durable finish.",173.15,"XS,S,M,L,XL","White, Beige, Teal",21,No warranty,Yes,4.7
PRD-025,Solace Denim Jacket,Clothing,Outerwear,Threadline,"The Solace Denim Jacket is designed for reliable everyday use, with practical materials and a thoughtful, durable finish.",177.15,"XS,S,M,L,XL","Black, Blue, White",72,No warranty,Yes,4.4
PRD-026,Nova Fleece Hoodie,Clothing,Outerwear,Threadline,"The Nova Fleece Hoodie is designed for reliable everyday use, with practical materials and a thoughtful, durable finish.",58.13,"XS,S,M,L,XL","White, Beige, Teal",64,No warranty,Yes,4.3
PRD-027,Pioneer Rain Jacket,Clothing,Outerwear,Threadline,"The Pioneer Rain Jacket is designed for reliable everyday use, with practical materials and a thoughtful, durable finish.",76.95,"XS,S,M,L,XL","Navy, Grey, Red",57,No warranty,Yes,4.1
PRD-028,Atlas Denim Jacket,Clothing,Outerwear,Threadline,"The Atlas Denim Jacket is designed for reliable everyday use, with practical materials and a thoughtful, durable finish.",127.98,"XS,S,M,L,XL","Black, Blue, White",109,No warranty,Yes,4.4
PRD-029,Willow Denim Jacket,Clothing,Outerwear,Threadline,"The Willow Denim Jacket is designed for reliable everyday use, with practical materials and a thoughtful, durable finish.",28.68,"XS,S,M,L,XL","Black, Blue, White",79,No warranty,Yes,4.5
PRD-030,Lumen Denim Jacket,Clothing,Outerwear,Threadline,"The Lumen Denim Jacket is designed for reliable everyday use, with practical materials and a thoughtful, durable finish.",58.82,"XS,S,M,L,XL","Charcoal, Green, Sand",50,No warranty,Yes,3.7
PRD-031,Summit Rain Jacket,Clothing,Outerwear,Threadline,"The Summit Rain Jacket is designed for reliable everyday use, with practical materials and a thoughtful, durable finish.",166.51,"XS,S,M,L,XL","Navy, Grey, Red",91,No warranty,Yes,4.5
PRD-032,Meadow Quilted Vest,Clothing,Outerwear,Threadline,"The Meadow Quilted Vest is designed for reliable everyday use, with practical materials and a thoughtful, durable finish.",38.89,"XS,S,M,L,XL","Black, Blue, White",47,No warranty,Yes,4.3
PRD-033,Ember Denim Jacket,Clothing,Outerwear,Threadline,"The Ember Denim Jacket is designed for reliable everyday use, with practical materials and a thoughtful, durable finish.",149.74,"XS,S,M,L,XL","Black, Blue, White",90,No warranty,Yes,4.5
