email_id,customer_id,subject,email_body,timestamp,category,order_id
EMAIL02286,CUST0034,Discount code question,"Do you have a student discount or a promo code I can use for the Coast Travel Backpack? Please reply before the weekend. I hope this can be resolved soon. Kind regards, Jordan Juniper.",2026-02-27 17:12,Other,ORD00977
EMAIL01728,CUST0179,Poor experience,"I have tried to get help with ORD01110 twice. Still no answer. Really disappointed with the service. Please reply today. Sorry if I missed this information somewhere. Kind regards, Morgan Fern.",2026-03-10 19:59,Complaint,ORD01110
EMAIL01144,CUST0154,Payment problem,"My card payment for ORD00481 is still pending in my bank app. Did the order go through? Please reply when you can. Please let me know what you need from me. Kind regards, Avery Ivy.",2026-06-17 16:44,Payment Issue,ORD00481
EMAIL00927,CUST0136,I was charged twice,"I can see two charges for order ORD00839, but I only placed one order. Please look into this. Please reply as soon as possible. I hope this can be resolved soon. Kind regards, Casey Ivy.",2026-07-31 17:28,Payment Issue,ORD00839
EMAIL00644,CUST0286,Please cancel my order,"Hi, please cancel order ORD00474 before it ships. I made this purchase by mistake. Please reply before the weekend. Sorry if I missed this information somewhere. Kind regards, Jamie Grove.",2026-04-27 16:37,Cancellation,ORD00474
EMAIL00882,CUST0197,Cancel order,"I no longer need the Orbit Fleece Hoodie. Can you cancel ORD00124 and refund the payment? Please reply this week. I hope this can be resolved soon. Kind regards, Jamie Juniper.",2026-05-07 14:34,Cancellation,ORD00124
EMAIL00304,CUST0110,I need to return an item,"Hey, I received the Pioneer Trail Runner from order ORD00756, but it does not fit my needs. Please send the return instructions. Please reply before the weekend. I hope this can be resolved soon. Kind regards, Avery Briar.",2026-05-22 19:50,Return/Refund,ORD00756
EMAIL02333,CUST0197,Need account help,"Hi, I cannot log in after resetting my password. Can you help me access my account? Please reply this week. A quick reply would be appreciated. Kind regards, Jamie Juniper.",2026-06-21 17:26,Other,ORD00647
EMAIL00481,CUST0096,I need to return an item,"Hello, I received the Summit Foam Roller from order ORD00983, but it does not fit my needs. Please send the return instructions. Please reply when you can. I hope this can be resolved soon. Kind regards, Skyler Juniper.",2026-04-06 17:11,Return/Refund,ORD00983
EMAIL01113,CUST0297,Payment problem,"My card payment for ORD00671 is still pending in my bank app. Did the order go through? Please reply when you can. I checked the help page but could not find a clear answer. Kind regards, Riley Grove.",2026-06-13 20:34,Payment Issue,ORD00671
EMAIL00136,CUST0249,Where is my order?,"Hey, I placed order ORD01103 a few days ago and it still says delivered. Can you tell me when it will arrive? Thank you, Quinn Fern Please reply before the weekend. I checked the help page but could not find a clear answer. Kind regards, Quinn Fern.",2026-02-12 10:21,Order Status,ORD01103
EMAIL01538,CUST0157,Poor experience,"I have tried to get help with ORD01008 twice. Still no answer. Really disappointed with the service. Please reply as soon as possible. I checked the help page but could not find a clear answer. Kind regards, Avery Juniper.",2026-03-09 18:54,Complaint,ORD01008
EMAIL01585,CUST0211,Complaint about delivery,"My package for ORD00217 arrived much later than promised and nobody sent an update. This is not acceptable. Please reply as soon as possible. Sorry if I missed this information somewhere. Kind regards, Riley Hollow.",2026-02-20 18:10,Complaint,ORD00217
EMAIL01124,CUST0199,Payment problem,"My card payment for ORD00511 is still pending in my bank app. Did the order go through? Please reply when you can. Sorry if I missed this information somewhere. Kind regards, Rowan Briar.",2026-05-17 20:51,Payment Issue,ORD00511
