email_id,customer_id,subject,email_body,timestamp,category,order_id,text
EMAIL00883,CUST0079,Please cancel my order,"Dear support team, please cancel order ORD00939 before it ships. I made this purchase by mistake. Please reply before the weekend. I hope this can be resolved soon. Kind regards, Riley Dale.",2026-05-28 11:31,Cancellation,ORD00939,"Please cancel my order Dear support team, please cancel order ORD00939 before it ships. I made this purchase by mistake. Please reply before the weekend. I hope this can be resolved soon. Kind regards, Riley Dale."
EMAIL02126,CUST0021,Discount code question,"Do you have a student discount or a promo code I can use for the Atlas Coffee Grinder? Please reply today. Sorry if I missed this information somewhere. Kind regards, Riley Cove.",2026-04-23 16:05,Other,ORD00161,"Discount code question Do you have a student discount or a promo code I can use for the Atlas Coffee Grinder? Please reply today. Sorry if I missed this information somewhere. Kind regards, Riley Cove."
EMAIL00027,CUST0232,Tracking update needed,"Could you check the delivery status of ORD00194? The tracking has not changed and I am starting to worry. Please reply when you can. A quick reply would be appreciated. Kind regards, Skyler Dale.",2026-01-15 16:44,Order Status,ORD00194,"Tracking update needed Could you check the delivery status of ORD00194? The tracking has not changed and I am starting to worry. Please reply when you can. A quick reply would be appreciated. Kind regards, Skyler Dale."
EMAIL00078,CUST0088,Where is my order?,"Hello, I placed order ORD01179 a few days ago and it still says returned. Can you tell me when it will arrive? Regards, Jordan Cove Please reply when you can. I hope this can be resolved soon. Kind regards, Jordan Cove.",2026-01-04 13:52,Order Status,ORD01179,"Where is my order? Hello, I placed order ORD01179 a few days ago and it still says returned. Can you tell me when it will arrive? Regards, Jordan Cove Please reply when you can. I hope this can be resolved soon. Kind regards, Jordan Cove."
EMAIL00066,CUST0040,Has my package shipped?,"Hi, I ordered a Echo Coffee Grinder. Is order ORD00485 on its way yet? Please reply today. Please let me know what you need from me. Kind regards, Rowan Ember.",2026-04-30 15:41,Order Status,ORD00485,"Has my package shipped? Hi, I ordered a Echo Coffee Grinder. Is order ORD00485 on its way yet? Please reply today. Please let me know what you need from me. Kind regards, Rowan Ember."
EMAIL01012,CUST0298,Checkout error,"Hi, my payment keeps failing when I try to buy the Summit Air Fryer. The card works everywhere else. Please reply this week. Please let me know what you need from me. Kind regards, Jordan Lark.",2026-02-15 08:18,Payment Issue,ORD00732,"Checkout error Hi, my payment keeps failing when I try to buy the Summit Air Fryer. The card works everywhere else. Please reply this week. Please let me know what you need from me. Kind regards, Jordan Lark."
EMAIL02215,CUST0045,Change my address,"Hi, how do I update the delivery address saved in my account for future orders? Please reply when you can. I hope this can be resolved soon. Kind regards, Taylor Cove.",2026-06-24 08:24,Other,ORD00632,"Change my address Hi, how do I update the delivery address saved in my account for future orders? Please reply when you can. I hope this can be resolved soon. Kind regards, Taylor Cove."
EMAIL00229,CUST0063,Has my package shipped?,"Hi, I ordered a Summit Training Shoe. Is order ORD00765 on its way yet? Please reply today. I checked the help page but could not find a clear answer. Kind regards, Morgan Hollow.",2026-07-09 13:28,Order Status,ORD00765,"Has my package shipped? Hi, I ordered a Summit Training Shoe. Is order ORD00765 on its way yet? Please reply today. I checked the help page but could not find a clear answer. Kind regards, Morgan Hollow."
EMAIL01204,CUST0128,Is this in stock?,"Do you still have the Ember Resistance Band Set available? I am looking for one as a gift. Please reply when you can. I checked the help page but could not find a clear answer. Kind regards, Morgan Ivy.",2026-05-31 19:24,Product Information,ORD00398,"Is this in stock? Do you still have the Ember Resistance Band Set available? I am looking for one as a gift. Please reply when you can. I checked the help page but could not find a clear answer. Kind regards, Morgan Ivy."
EMAIL01461,CUST0041,Is this in stock?,"Do you still have the Cedar Resistance Band Set available? I am looking for one as a gift. Please reply this week. I checked the help page but could not find a clear answer. Kind regards, Taylor Ivy.",2026-05-06 09:27,Product Information,ORD00609,"Is this in stock? Do you still have the Cedar Resistance Band Set available? I am looking for one as a gift. Please reply this week. I checked the help page but could not find a clear answer. Kind regards, Taylor Ivy."
EMAIL01722,CUST0166,Poor experience,"I have tried to get help with ORD00785 twice. Still no answer. Really disappointed with the service. Please reply when you can. I checked the help page but could not find a clear answer. Kind regards, Skyler Juniper.",2026-04-01 17:31,Complaint,ORD00785,"Poor experience I have tried to get help with ORD00785 twice. Still no answer. Really disappointed with the service. Please reply when you can. I checked the help page but could not find a clear answer. Kind regards, Skyler Juniper."
EMAIL00477,CUST0225,I need to return an item,"Dear support team, I received the Coast Gentle Cleanser from order ORD00895, but it does not fit my needs. Please send the return instructions. Please reply before the weekend. Sorry if I missed this information somewhere. Kind regards, Skyler Cove.",2026-02-21 11:22,Return/Refund,ORD00895,"I need to return an item Dear support team, I received the Coast Gentle Cleanser from order ORD00895, but it does not fit my needs. Please send the return instructions. Please reply before the weekend. Sorry if I missed this information somewhere. Kind regards, Skyler Cove."
EMAIL02345,CUST0223,Need account help,"Hey, I cannot log in after resetting my password. Can you help me access my account? Please reply this week. I checked the help page but could not find a clear answer. Kind regards, Casey Grove.",2026-03-31 15:59,Other,ORD00796,"Need account help Hey, I cannot log in after resetting my password. Can you help me access my account? Please reply this week. I checked the help page but could not find a clear answer. Kind regards, Casey Grove."
EMAIL00103,CUST0153,Has my package shipped?,"Hi, I ordered a Willow Canvas Tote. Is order ORD00100 on its way yet? Please reply as soon as possible. A quick reply would be appreciated. Kind regards, Quinn Lark.",2026-03-06 10:12,Order Status,ORD00100,"Has my package shipped? Hi, I ordered a Willow Canvas Tote. Is order ORD00100 on its way yet? Please reply as soon as possible. A quick reply would be appreciated. Kind regards, Quinn Lark."
EMAIL02117,CUST0107,Need account help,"Hello, I cannot log in after resetting my password. Can you help me access my account? Please reply this week. A quick reply would be appreciated. Kind regards, Quinn Dale.",2026-01-03 10:22,Other,ORD01007,"Need account help Hello, I cannot log in after resetting my password. Can you help me access my account? Please reply this week. A quick reply would be appreciated. Kind regards, Quinn Dale."
EMAIL01598,CUST0130,Poor experience,"I have tried to get help with ORD00451 twice. Still no answer. Really disappointed with the service. Please reply today. A quick reply would be appreciated. Kind regards, Jamie Dale.",2026-05-31 14:25,Complaint,ORD00451,"Poor experience I have tried to get help with ORD00451 twice. Still no answer. Really disappointed with the service. Please reply today. A quick reply would be appreciated. Kind regards, Jamie Dale."
EMAIL00494,CUST0172,Refund status,"I returned order ORD00151 and have not received my refund. Can someone check the status for me? Please reply as soon as possible. I checked the help page but could not find a clear answer. Kind regards, Jordan Briar.",2026-02-09 10:38,Return/Refund,ORD00151,"Refund status I returned order ORD00151 and have not received my refund. Can someone check the status for me? Please reply as soon as possible. I checked the help page but could not find a clear answer. Kind regards, Jordan Briar."
EMAIL00063,CUST0189,Has my package shipped?,"Hi, I ordered a Sage Air Fryer. Is order ORD01031 on its way yet? Please reply when you can. Sorry if I missed this information somewhere. Kind regards, Quinn Ivy.",2026-04-04 16:54,Order Status,ORD01031,"Has my package shipped? Hi, I ordered a Sage Air Fryer. Is order ORD01031 on its way yet? Please reply when you can. Sorry if I missed this information somewhere. Kind regards, Quinn Ivy."
EMAIL00571,CUST0237,Refund status,"I returned order ORD00560 and have not received my refund. Can someone check the status for me? Please reply today. I checked the help page but could not find a clear answer. Kind regards, Jamie Ivy.",2026-01-14 13:35,Return/Refund,ORD00560,"Refund status I returned order ORD00560 and have not received my refund. Can someone check the status for me? Please reply today. I checked the help page but could not find a clear answer. Kind regards, Jamie Ivy."
EMAIL02027,CUST0043,Need a different size,"Hello, I received the Nova Trail Runner from order ORD00866, but the size is wrong. Can I exchange it for a smaller size? Please reply when you can. Sorry if I missed this information somewhere. Kind regards, Skyler Juniper.",2026-01-15 14:21,Exchange,ORD00866,"Need a different size Hello, I received the Nova Trail Runner from order ORD00866, but the size is wrong. Can I exchange it for a smaller size? Please reply when you can. Sorry if I missed this information somewhere. Kind regards, Skyler Juniper."
EMAIL01286,CUST0265,Is this in stock?,"Do you still have the Coast Gentle Cleanser available? I am looking for one as a gift. Please reply as soon as possible. A quick reply would be appreciated. Kind regards, Casey Ivy.",2026-03-15 15:33,Product Information,ORD00357,"Is this in stock? Do you still have the Coast Gentle Cleanser available? I am looking for one as a gift. Please reply as soon as possible. A quick reply would be appreciated. Kind regards, Casey Ivy."
EMAIL00422,CUST0001,Refund status,"I returned order ORD01150 and have not received my refund. Can someone check the status for me? Please reply when you can. Please let me know what you need from me. Kind regards, Casey Briar.",2026-06-18 16:23,Return/Refund,ORD01150,"Refund status I returned order ORD01150 and have not received my refund. Can someone check the status for me? Please reply when you can. Please let me know what you need from me. Kind regards, Casey Briar."
EMAIL01615,CUST0113,Complaint about delivery,"My package for ORD00678 arrived much later than promised and nobody sent an update. This is not acceptable. Please reply today. Sorry if I missed this information somewhere. Kind regards, Avery Cove.",2026-03-02 08:25,Complaint,ORD00678,"Complaint about delivery My package for ORD00678 arrived much later than promised and nobody sent an update. This is not acceptable. Please reply today. Sorry if I missed this information somewhere. Kind regards, Avery Cove."
